# Time (ps)	MSD (nm^2)
785.000000	0.642254
786.000000	0.643340
787.000000	0.641961
788.000000	0.649840
789.000000	0.646388
790.000000	0.644278
791.000000	0.642059
792.000000	0.642872
793.000000	0.645941
794.000000	0.646763
795.000000	0.646469
796.000000	0.649972
797.000000	0.652166
798.000000	0.650379
799.000000	0.647339
800.000000	0.647451
801.000000	0.642731
802.000000	0.645852
803.000000	0.646562
804.000000	0.647197
805.000000	0.650901
806.000000	0.651593
807.000000	0.652177
808.000000	0.656653
809.000000	0.662192
810.000000	0.657133
811.000000	0.656684
812.000000	0.654467
813.000000	0.659445
814.000000	0.660963
815.000000	0.660896
816.000000	0.658565
817.000000	0.661959
818.000000	0.660793
819.000000	0.655275
820.000000	0.661479
821.000000	0.656469
822.000000	0.662331
823.000000	0.662200
824.000000	0.666166
825.000000	0.669299
826.000000	0.666875
827.000000	0.665923
828.000000	0.662248
829.000000	0.666484
830.000000	0.670502
831.000000	0.671278
832.000000	0.669232
833.000000	0.667144
834.000000	0.673574
835.000000	0.676900
836.000000	0.678024
837.000000	0.677846
838.000000	0.676505
839.000000	0.677623
840.000000	0.679493
841.000000	0.675089
842.000000	0.672819
843.000000	0.677845
844.000000	0.674810
845.000000	0.675859
846.000000	0.680540
847.000000	0.679399
848.000000	0.681504
849.000000	0.680289
850.000000	0.684654
851.000000	0.687927
852.000000	0.686383
853.000000	0.686072
854.000000	0.687511
855.000000	0.692558
856.000000	0.697336
857.000000	0.700301
858.000000	0.704030
859.000000	0.701778
860.000000	0.697866
861.000000	0.703364
862.000000	0.706757
863.000000	0.704329
864.000000	0.708400
865.000000	0.714361
866.000000	0.715942
867.000000	0.713682
868.000000	0.704833
869.000000	0.706219
870.000000	0.708402
871.000000	0.707592
872.000000	0.709548
873.000000	0.709907
874.000000	0.711043
875.000000	0.713245
876.000000	0.712759
877.000000	0.708774
878.000000	0.710540
879.000000	0.711188
880.000000	0.712330
881.000000	0.707518
882.000000	0.705868
883.000000	0.710943
884.000000	0.709758
885.000000	0.706994
886.000000	0.705979
