# Time (ps)	MSD (nm^2)
961.000000	0.614748
962.000000	0.611945
963.000000	0.607818
964.000000	0.611893
965.000000	0.617238
966.000000	0.619920
967.000000	0.617975
968.000000	0.618933
969.000000	0.618989
970.000000	0.620568
971.000000	0.626502
972.000000	0.624306
973.000000	0.623793
974.000000	0.626132
975.000000	0.624836
976.000000	0.622116
977.000000	0.623316
978.000000	0.625404
979.000000	0.628554
980.000000	0.630339
981.000000	0.628153
982.000000	0.623858
983.000000	0.620832
984.000000	0.623169
985.000000	0.619960
986.000000	0.624018
987.000000	0.623089
988.000000	0.621159
989.000000	0.625922
990.000000	0.631580
991.000000	0.624965
992.000000	0.629921
993.000000	0.634260
994.000000	0.638956
995.000000	0.638785
996.000000	0.641793
997.000000	0.643055
998.000000	0.641834
999.000000	0.645753
